Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Harreveld,4,Lichtenvoorde 7,419…,R.K. Gesticht Harreveld,1938,O,232406.55,443923.03,Harreveld%2004.jpg,,,,
Harskamp,1,Ede 18,320321,H.K. Harskamp,1973,,179872.26,460448.74,Harskamp%2001.jpg,,,,
Harskamp,2,Ede 18,320321,H.K. Harskamp,1973,,179872.26,460448.74,Harskamp%2002.jpg,,,,
Harskamp,3,Ede 18,320321,H.K. Harskamp,1973,,179872.26,460448.74,Harskamp%2003.jpg,,,,
Harskamp,4,Ede 18,320321,H.K. Harskamp,1973,,179872.26,460448.74,Harskamp%2004.jpg,,,,
Harskamp,5,Ede 18,320321,H.K. Harskamp,1941,O,179872.26,460448.74,Harskamp%2005.jpg,,,,
Haskerdijken,1,Haskerland 6,119204,H.K. Haskerdijken,1959,W,187194.34,557765.4,Haskerdijken%2001.jpg,,,,
Haskerdijken,2,Haskerland 6,119204,H.K. Haskerdijken,14 augustus 1923,W,187194.34,557765.4,Haskerdijken%2002.jpg,,,,
Haskerhorne,1,Haskerland 5,119327,H.K. en Wasserij Haskerhorne,1977,,184722.59,551920.64,Haskerhorne%2001.jpg,,,,
Haskerhorne,2,Haskerland 5,119327,H.K. en Wasserij Haskerhorne,1977,,184722.59,551920.64,Haskerhorne%2002.jpg,,,,
Haskerhorne,3,Haskerland 5,119327,H.K. en Wasserij Haskerhorne,1977,,184722.59,551920.64,Haskerhorne%2003.jpg,,,,
Hasselberg (Dld),1,Hasselterberg,139201,T.P. steen ,1959,,275617.41,552008.5,Hasselberg%20%28Dld%29%2001.jpg,,,,
Hasselberg (Dld),2,Hasselterberg,139201,T.P. steen ,1959,,275617.41,552008.5,Hasselberg%20%28Dld%29%2002.jpg,,,,
Hasselberg (Dld),3,Hasselterberg,139201,T.P. steen ,1959,,275617.41,552008.5,Hasselberg%20%28Dld%29%2003.jpg,,,,
Hasselt,1,Hasselt 2,210...,R.K.K. Hasselt,27 mei 1942,N,202830,511522,Hasselt%2001.jpg,,,,
Hasselt,2,Hasselt 3,210...,"G.K. Hasselt, Nieuwstraat",27 mei 1942,W,202681.52,511714.18,Hasselt%2002.jpg,gesloopt,,,
